#### Pb isotope ratio values for possible atmospheric Pb sources within the Northern Hemisphere.				
#### column names pb20x20y should be read as 20xPb/20yPb.
#### Missing values are reported as NA.
#### Bollhofer2001: Bollhöfer, A., Rosman, K.J.R., 2001. Isotopic source signatures for atmospheric lead: The Northern Hemisphere. Geochim. Cosmochim. Acta 65, 1727–1740. https://doi.org/10.1016/S0016-7037(00)00630-X
#### Carignan2002: Carignan, J., Simonetti, A., Gariépy, C., 2002. Dispersal of atmospheric lead in northeastern North America as recorded by epiphytic lichens. Atmos. Environ. 36, 3759–3766. https://doi.org/10.1016/S1352-2310(02)00294-7
#### Mukai2001a: Mukai, H., Machida, T., Tanaka, A., Vera, Y.P., Uematsu, M., 2001. Lead isotope ratios in the urban air of eastern and central Russia. Atmos. Environ. 35, 2783–2793. https://doi.org/10.1016/S1352-2310(00)00341-1
#### Mukai2001b: Mukai, H., Tanaka, A., Fujii, T., Zeng, Y., Hong, Y., Tang, J., Guo, S., Xue, H., Sun, Z., Zhou, J., Xue, D., Zhao, J., Zhai, G., Gu, J., Zhai, P., 2001. Regional characteristics of sulfur and lead isotope ratios in the atmosphere at several Chinese urban sites. Environ. Sci. Technol. 35, 1064–1071. https://doi.org/10.1021/es001399u
#### Zhu2010: Zhu, L., Tang, J., Lee, B., Zhang, Y., Zhang, F., 2010. Lead concentrations and isotopes in aerosols from Xiamen, China. Mar. Pollut. Bull. 60, 1946–55. https://doi.org/10.1016/j.marpolbul.2010.07.035						
sample	pb206204	pb207204	pb208204	pb206207	pb207206	pb208206	reference	area
Maine	18.5410	15.6490	38.2730	1.1850	0.8439	2.0640	Carignan2002	usa
NewYork1	18.8050	15.6490	38.3480	1.2020	0.8319	2.0390	Carignan2002	usa
Vermont	18.9040	15.6790	38.6160	1.2060	0.8292	2.0430	Carignan2002	usa
NewJersey	18.8380	15.6510	38.4390	1.2040	0.8306	2.0410	Carignan2002	usa
Maryland	18.8250	15.6540	38.4400	1.2030	0.8313	2.0420	Carignan2002	usa
Tampa1	18.8800	NA	NA	1.2140	0.8237	2.0200	Bollhofer2001	usa
Pasadena	18.5700	NA	NA	1.1879	0.8418	2.0590	Bollhofer2001	usa
PuertoRico	18.2400	NA	NA	1.1761	0.8503	2.0650	Bollhofer2001	usa
Argonne	18.9600	NA	NA	1.2109	0.8258	2.0290	Bollhofer2001	usa
Wilmington	19.1800	NA	NA	1.2229	0.8177	2.0120	Bollhofer2001	usa
SouthHolland	19.2000	NA	NA	1.2200	0.8197	2.0160	Bollhofer2001	usa
Sioux	18.6200	NA	NA	1.1950	0.8368	2.0500	Bollhofer2001	usa
Dallas	18.7800	NA	NA	1.2021	0.8319	2.0340	Bollhofer2001	usa
NewYork2	18.9900	NA	NA	1.2101	0.8264	2.0340	Bollhofer2001	usa
Tampa2	19.2800	NA	NA	1.2195	0.8200	2.0210	Bollhofer2001	usa
WoodsHole	18.4900	NA	NA	1.1840	0.8446	2.0650	Bollhofer2001	usa
Davis	NA	NA	NA	1.1730	0.8525	2.0830	Bollhofer2001	usa
Berkeley	NA	NA	NA	1.1665	0.8573	2.0850	Bollhofer2001	usa
Pasadena	NA	NA	NA	1.1774	0.8493	2.0700	Bollhofer2001	usa
Mauricie	18.3400	15.5900	38.0680	1.1760	0.8503	2.0760	Carignan2002	canada
LacCroix	18.4590	15.6240	38.1570	1.1810	0.8467	2.0670	Carignan2002	canada
LacDecoigne	18.4100	15.5970	38.0760	1.1800	0.8475	2.0670	Carignan2002	canada
LacBrome	18.5540	15.6530	38.2290	1.1850	0.8439	2.0600	Carignan2002	canada
Lusignan	18.5770	15.6430	38.2670	1.1880	0.8418	2.0600	Carignan2002	canada
Rougemont	18.4750	15.6270	38.1040	1.1820	0.8460	2.0620	Carignan2002	canada
LacStJean	18.3110	15.6140	38.0680	1.1730	0.8525	2.0790	Carignan2002	canada
Arboretum	18.4460	15.6470	38.2810	1.1800	0.8475	2.0730	Carignan2002	canada
LacDoreen	18.1790	15.5740	37.9010	1.1670	0.8569	2.0850	Carignan2002	canada
KM	18.2600	15.5950	38.0460	1.1710	0.8540	2.0840	Carignan2002	canada
ChutesMcDonald	18.4600	15.6500	38.2470	1.1800	0.8475	2.0720	Carignan2002	canada
PointeauxOutardes	18.2660	15.6120	38.0310	1.1700	0.8547	2.0810	Carignan2002	canada
Escoumins	18.4120	15.6260	38.1650	1.1780	0.8489	2.0730	Carignan2002	canada
HavreStPierre	18.4720	15.6660	38.2800	1.1790	0.8482	2.0720	Carignan2002	canada
ParcBic	18.2460	15.6280	38.0310	1.1680	0.8562	2.0840	Carignan2002	canada
Laporte	18.2530	15.5620	38.0280	1.1730	0.8525	2.0830	Carignan2002	canada
Chibougamau	NA	NA	NA	1.1540	0.8666	2.1040	Carignan2002	canada
KM1	18.2690	15.5460	37.9950	1.1750	0.8511	2.0800	Carignan2002	canada
KM2	18.6990	15.6440	38.8300	1.1950	0.8368	2.0770	Carignan2002	canada
LA1	17.9780	15.4950	37.6700	1.1610	0.8613	2.0950	Carignan2002	canada
CLaforge2	17.9860	15.4980	37.6660	1.1610	0.8613	2.0940	Carignan2002	canada
Chisasibi	NA	NA	NA	1.1460	0.8726	2.1230	Carignan2002	canada
Kouri	NA	NA	NA	1.1460	0.8726	2.1130	Carignan2002	canada
MtCarletonPark	18.6280	15.6690	38.3300	1.1890	0.8410	2.0580	Carignan2002	canada
LiscombSanctuary	18.3810	15.6200	38.2110	1.1770	0.8496	2.0790	Carignan2002	canada
KingCross	18.3080	15.6110	38.0920	1.1730	0.8525	2.0810	Carignan2002	canada
LacBrasD	18.3780	15.6240	38.1210	1.1760	0.8503	2.0740	Carignan2002	canada
Debert	18.3660	15.6330	38.1920	1.1750	0.8511	2.0800	Carignan2002	canada
ParcKemjikujik	18.6060	15.6370	38.1790	1.1900	0.8403	2.0520	Carignan2002	canada
PeggyCove	18.4270	15.6330	38.1560	1.1790	0.8482	2.0710	Carignan2002	canada
Burnaby	18.2000	NA	NA	1.1770	0.8496	2.0600	Bollhofer2001	canada
Chicoutimi	18.2000	NA	NA	1.1670	0.8569	2.0820	Bollhofer2001	canada
Victoria	18.1000	NA	NA	1.1450	0.8734	2.1090	Bollhofer2001	canada
Calgary	18.2200	NA	NA	1.1650	0.8587	2.0830	Bollhofer2001	canada
Winnipeg	NA	NA	NA	1.1250	0.8889	2.1260	Bollhofer2001	canada
Toronto	NA	NA	NA	1.1610	0.8617	2.0900	Bollhofer2001	canada
NewFoundland	18.2400	NA	NA	1.1690	0.8554	2.0830	Bollhofer2001	canada
Y-31	18.1689	15.6289	NA	1.1626	0.8602	2.1131	Zhu2010	china
Y-34	18.1842	15.6311	NA	1.1633	0.8596	2.1132	Zhu2010	china
Y-35	18.3138	15.6693	NA	1.1688	0.8556	2.1066	Zhu2010	china
Y-36	18.1740	15.6296	NA	1.1629	0.8600	2.1137	Zhu2010	china
Y-38	18.1511	15.6245	NA	1.1617	0.8608	2.1154	Zhu2010	china
Y-39	18.2313	15.6425	NA	1.1655	0.8580	2.1110	Zhu2010	china
Y-40	18.2512	15.6504	NA	1.1662	0.8575	2.1094	Zhu2010	china
Y-41	18.2066	15.6376	NA	1.1643	0.8589	2.1105	Zhu2010	china
Y-42	18.1728	15.6268	NA	1.1630	0.8599	2.1133	Zhu2010	china
Y-43	18.2739	15.6571	NA	1.1671	0.8568	2.1078	Zhu2010	china
Y-44	18.2837	15.6618	NA	1.1674	0.8566	2.1081	Zhu2010	china
Y-45	18.3412	15.6689	NA	1.1706	0.8543	2.1029	Zhu2010	china
Y-46	18.3396	15.7372	NA	1.1654	0.8581	2.1098	Zhu2010	china
Y-47	18.2306	15.6747	NA	1.1631	0.8598	2.1122	Zhu2010	china
Y-48	18.1841	15.5910	NA	1.1663	0.8574	2.1085	Zhu2010	china
Y-49	18.2465	15.6081	NA	1.1691	0.8554	2.1052	Zhu2010	china
Y-50	18.3166	15.7303	NA	1.1645	0.8588	2.1111	Zhu2010	china
Y-51	18.2224	15.6385	NA	1.1653	0.8582	2.1096	Zhu2010	china
Y-52	18.2393	15.6256	NA	1.1672	0.8567	2.1069	Zhu2010	china
Y-53	18.2726	15.6943	NA	1.1642	0.8589	2.1100	Zhu2010	china
Y-54	18.2103	15.6281	NA	1.1653	0.8582	2.1089	Zhu2010	china
Y-55	18.2297	15.6393	NA	1.1657	0.8579	2.1095	Zhu2010	china
Y-56	18.2405	15.6558	NA	1.1651	0.8583	2.1106	Zhu2010	china
Y-57	18.2314	15.6079	NA	1.1681	0.8561	2.1056	Zhu2010	china
Y-58	18.2932	15.6608	NA	1.1680	0.8561	2.1056	Zhu2010	china
Y-59	18.2947	15.6658	NA	1.1678	0.8563	2.1050	Zhu2010	china
Y-60	18.2963	15.6488	NA	1.1692	0.8553	2.1049	Zhu2010	china
Y-61	18.3171	15.6758	NA	1.1684	0.8558	2.1045	Zhu2010	china
Y-62	18.3074	15.6711	NA	1.1683	0.8560	2.1058	Zhu2010	china
Y-63	18.3018	15.6627	NA	1.1685	0.8558	2.1056	Zhu2010	china
Y-64	18.3015	15.6862	NA	1.1668	0.8571	2.1085	Zhu2010	china
Y-66	18.2634	15.6883	NA	1.1642	0.8590	2.1102	Zhu2010	china
Y-67	18.2014	15.6150	NA	1.1657	0.8579	2.1095	Zhu2010	china
Y-68	18.2417	15.6222	NA	1.1677	0.8564	2.1061	Zhu2010	china
Y-69	18.2839	15.6748	NA	1.1664	0.8573	2.1095	Zhu2010	china
Y-70	18.2541	15.6638	NA	1.1654	0.8581	2.1086	Zhu2010	china
Y-71	18.2355	15.6351	NA	1.1663	0.8574	2.1090	Zhu2010	china
Y-72	18.2511	15.6795	NA	1.1641	0.8591	2.1111	Zhu2010	china
Y-73	18.2031	15.6037	NA	1.1665	0.8572	2.1082	Zhu2010	china
Y-74	18.2531	15.7013	NA	1.1625	0.8602	2.1138	Zhu2010	china
Harbin	NA	NA	NA	1.1723	0.8530	2.0980	Mukai2001b	china
Harbinw	NA	NA	NA	1.1481	0.8710	2.1220	Mukai2001b	china
Changchun	NA	NA	NA	1.1655	0.8580	2.1130	Mukai2001b	china
Changchunw	NA	NA	NA	1.1455	0.8730	2.1310	Mukai2001b	china
Dalian	NA	NA	NA	1.1351	0.8810	2.1510	Mukai2001b	china
Dalianw	NA	NA	NA	1.1377	0.8790	2.1460	Mukai2001b	china
Waliguan	NA	NA	NA	1.1601	0.8620	2.1140	Mukai2001b	china
Shanghai	NA	NA	NA	1.1561	0.8650	2.1180	Mukai2001b	china
Shanghaiw	NA	NA	NA	1.1587	0.8630	2.1140	Mukai2001b	china
Nanjing	NA	NA	NA	1.1614	0.8610	2.1180	Mukai2001b	china
Nanjingw	NA	NA	NA	1.1655	0.8580	2.1110	Mukai2001b	china
Guiyang	NA	NA	NA	1.1848	0.8440	2.0770	Mukai2001b	china
Guiyangw	NA	NA	NA	1.1891	0.8410	2.0730	Mukai2001b	china
Beijingw	NA	NA	NA	1.1587	0.8630	2.1070	Mukai2001b	china
Beijing1	NA	NA	NA	1.1481	0.8710	2.1290	Mukai2001b	china
Seoul	NA	NA	NA	1.1500	0.8696	2.1260	Bollhofer2001	china
HongKong	NA	NA	NA	1.1490	0.8703	2.1240	Bollhofer2001	china
XinShao	NA	NA	NA	1.1770	0.8496	2.0940	Bollhofer2001	china
ChengDu	NA	NA	NA	1.1660	0.8576	2.1070	Bollhofer2001	china
Beijing2	NA	NA	NA	1.1410	0.8764	2.1340	Bollhofer2001	china
Vladivostok1	17.9800	15.5905	NA	1.1533	0.8671	2.1100	Mukai2001a	russia
Vladivostok2	17.9500	15.5950	NA	1.1510	0.8688	2.1200	Mukai2001a	russia
Khabarovsk	17.9300	15.6493	NA	1.1457	0.8728	2.1190	Mukai2001a	russia
Yakutsk	17.8900	15.5410	NA	1.1511	0.8687	2.1090	Mukai2001a	russia
Surgut	17.6900	15.5088	NA	1.1406	0.8767	2.1200	Mukai2001a	russia
Nizhnevartovsk	17.3600	15.5268	NA	1.1181	0.8944	2.1420	Mukai2001a	russia
Kemerovo	17.0500	15.5223	NA	1.0984	0.9104	2.1620	Mukai2001a	russia
Moscow1	18.0100	15.4904	NA	1.1627	0.8601	2.1020	Mukai2001a	russia
Moscow2	17.5600	15.3720	NA	1.1423	0.8754	2.1130	Mukai2001a	russia
Budapest	17.3000	15.5579	NA	1.1120	0.8993	2.1470	Bollhofer2001	russia
Prague	17.5100	15.5366	NA	1.1270	0.8873	2.1320	Bollhofer2001	russia
Bucharest	18.1000	15.6167	NA	1.1590	0.8628	2.1040	Bollhofer2001	russia
Chisinav	18.0000	15.6114	NA	1.1530	0.8673	2.1080	Bollhofer2001	russia
Vilnius	17.9700	15.5315	NA	1.1570	0.8643	2.0970	Bollhofer2001	russia
Kharkov	18.1400	15.5841	NA	1.1640	0.8591	2.0980	Bollhofer2001	russia
Bakou	17.9600	15.4833	NA	1.1600	0.8621	2.0960	Bollhofer2001	russia
AlmaAlta	17.5200	15.5735	NA	1.1250	0.8889	2.1360	Bollhofer2001	russia
Ulanbaator1	17.4700	15.4872	NA	1.1280	0.8865	2.1230	Bollhofer2001	russia
Ulanbaator2	18.1100	15.5710	NA	1.1631	0.8598	2.0970	Bollhofer2001	russia
StPetersburg	18.0000	15.5718	NA	1.1559	0.8651	2.1060	Bollhofer2001	russia
Moscow3	17.8700	15.5666	NA	1.1480	0.8711	2.1110	Bollhofer2001	russia
Moscow4	18.1250	15.6111	NA	1.1610	0.8613	2.1020	Bollhofer2001	russia
Apatity	17.9100	15.5871	NA	1.1490	0.8703	2.1130	Bollhofer2001	russia
Mainz	17.6300	15.5602	NA	1.1330	0.8826	2.1230	Bollhofer2001	europe
Nurnberg	17.8600	15.5989	NA	1.1450	0.8734	2.1140	Bollhofer2001	europe
Heidelberg1	17.7300	15.5935	NA	1.1370	0.8795	2.1200	Bollhofer2001	europe
Hamburg	17.7800	15.5557	NA	1.1430	0.8749	2.1140	Bollhofer2001	europe
Schwarzheide	17.8000	15.5999	NA	1.1410	0.8764	2.1210	Bollhofer2001	europe
Heidelberg2	17.9800	15.6084	NA	1.1519	0.8681	2.1060	Bollhofer2001	europe
Heidelberg3	18.0100	15.5931	NA	1.1550	0.8658	2.1060	Bollhofer2001	europe
Constance	17.8500	15.6170	NA	1.1430	0.8749	2.1170	Bollhofer2001	europe
Plon	18.0450	15.6107	NA	1.1559	0.8651	2.1010	Bollhofer2001	europe
Innsbruck	18.0300	15.5833	NA	1.1570	0.8643	2.1020	Bollhofer2001	europe
Odense	17.7900	15.5502	NA	1.1440	0.8741	2.1110	Bollhofer2001	europe
Copenhagen	17.7500	15.5845	NA	1.1390	0.8780	2.1190	Bollhofer2001	europe
Rejkjavik	17.3300	15.4324	NA	1.1230	0.8905	2.1260	Bollhofer2001	europe
Groningen	17.6600	15.5867	NA	1.1330	0.8826	2.1240	Bollhofer2001	europe
Emmen	17.7200	15.5847	NA	1.1370	0.8795	2.1190	Bollhofer2001	europe
Montpellier	17.6100	15.5849	NA	1.1299	0.8850	2.1250	Bollhofer2001	europe
Grenoble1	17.8200	15.6050	NA	1.1419	0.8757	2.1090	Bollhofer2001	europe
Grenoble2	17.7800	15.6108	NA	1.1390	0.8780	2.1130	Bollhofer2001	europe
Grenoble3	17.6200	15.6060	NA	1.1291	0.8857	2.1270	Bollhofer2001	europe
Grenoble4	17.3150	15.5991	NA	1.1100	0.9009	2.1480	Bollhofer2001	europe
Paris	17.6300	15.5743	NA	1.1320	0.8834	2.1240	Bollhofer2001	europe
Chateauneuf	17.7400	15.6023	NA	1.1370	0.8795	2.1200	Bollhofer2001	europe
Avignon	17.6250	15.6105	NA	1.1291	0.8857	2.1220	Bollhofer2001	europe
Madrid	17.0300	15.5245	NA	1.0970	0.9116	2.1620	Bollhofer2001	europe
Valencia	17.4500	15.5671	NA	1.1210	0.8921	2.1360	Bollhofer2001	europe
Venice1	17.9800	15.6210	NA	1.1510	0.8688	2.1090	Bollhofer2001	europe
Venice2	18.0400	15.6335	NA	1.1539	0.8666	2.1010	Bollhofer2001	europe
Rome	17.3550	15.5726	NA	1.1145	0.8973	2.1370	Bollhofer2001	europe
Athens	17.7800	15.5966	NA	1.1400	0.8772	2.1200	Bollhofer2001	europe
Ankara	17.5500	15.6283	NA	1.1230	0.8905	2.1410	Bollhofer2001	europe
